Lead No,Party Name,Lead Type,Entry Date,S.C.,S. E.,Current Stage,Current Status,Next Action,Inactive Days,Last Activity
Comp - 103,ALPHA METALS PVT. LTD.,Not Ment.,5/31/2025 ,Sales Coord. 3,Sales Exec. 2,Proposal to order,Inactive,No upcoming action,163,To be calculated
Comp - 317,JINDAL PROFILES ENTERPRISES,Not Ment.,5/31/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 900,BALAJI METALLURGICAL HOLDINGS INDIA LTD.,Not Ment.,5/31/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 269,GLOBAL HEAVY ENGINEERING LLP,Not Ment.,5/31/2025 ,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 30,GOEL CASTINGS VENTURES LTD.,Not Ment.,5/31/2025 ,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 719,RATHI METALLURGICAL VENTURES LLP,Not Ment.,06-02-2025,Not Assigned,Not Assigned,Inquiry Followups,Inactive,No upcoming action,308,To be calculated
Comp - 692,NATIONAL MINERALS INDUSTRIES,Not Ment.,06-02-2025,Not Assigned,Not Assigned,Meeting,Inactive,No upcoming action,346,To be calculated
Comp - 930,ZENITH PROFILES INDIA LTD.,Not Ment.,06-02-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,Inactive,No upcoming action,346,To be calculated
Comp - 99,VERMA TUBES VENTURES ENTERPRISES,Golden,06-03-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 905,SUPREME CASTINGS HOLDINGS CORPORATION,Not Ment.,06-04-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 331,INDUS INDUSTRIES,Not Ment.,06-04-2025,Not Assigned,Not Assigned,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 220,STERLING ISPAT GROUP LTD.,Not Ment.,06-05-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 243,SHRIRAM CASTINGS GROUP INDIA LTD.,Not Ment.,06-05-2025,Not Assigned,Not Assigned,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 924,APEX CASTINGS INDIA LTD.,Golden,06-09-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 92,NATIONAL INDIA LTD.,Golden,06-10-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 115,PRIME LTD.,Not Ment.,06-10-2025,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 68,ALPHA STRUCTURES HOLDINGS INDIA LTD.,Golden,06-10-2025,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 329,BEACON CASTINGS GROUP PVT. LTD.,Golden,06-11-2025,Not Assigned,Not Assigned,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 726,CENTURY PRODUCTS LTD.,Golden,06-11-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 943,INDUS TUBES HOLDINGS INDIA LTD.,Not Ment.,06-11-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 693,APEX STRUCTURES ENTERPRISES,Not Ment.,06-11-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 309,MALHOTRA FERRO ALLOYS CORPORATION,Not Ment.,06-11-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 416,BANSAL ROLLING MILLS INDIA LTD.,Golden,06-11-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 951,MATRIX ALLOYS VENTURES ENTERPRISES,Not Ment.,06-11-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 127,UNITED IRON & STEEL INDUSTRIES,Golden,06-12-2025,Not Assigned,Not Assigned,Followup Meeting,active,Followup Meeting,0,To be calculated
Comp - 350,GOEL FASTENERS HOLDINGS INDUSTRIES,Golden,06-12-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 66,WESTERN CASTINGS HOLDINGS ENTERPRISES,Golden,06-12-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 771,BAJAJ METALIKS HOLDINGS INDIA LTD.,Golden,06-12-2025,Not Assigned,Not Assigned,Inquiry Followups,Inactive,No upcoming action,76,To be calculated
Comp - 764,SIGMA TUBES LTD.,Not Ment.,06-12-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 76,MALHOTRA LTD.,Golden,06-12-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 93,VECTOR POWER & STEEL PVT. LTD.,Golden,06-12-2025,Not Assigned,Not Assigned,Inquiry Followups,Inactive,No upcoming action,77,To be calculated
Comp - 161,ANCHOR METALLURGICAL HOLDINGS PVT. LTD.,Not Ment.,06-12-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 6,INDUS IRON & STEEL LLP,Golden,06-12-2025,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 355,KREST HEAVY ENGINEERING CORPORATION,Not Ment.,06-12-2025,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 176,MALHOTRA FOUNDRIES GROUP ENTERPRISES,Not Ment.,06-12-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 177,ORION HEAVY ENGINEERING ENTERPRISES,Not Ment.,06-12-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 178,TECHNO WIRE ROPES CORPORATION,Not Ment.,06-12-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 57,HERITAGE PVT. LTD.,Golden,6/19/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 954,EMINENT PVT. LTD.,Not Ment.,6/23/2025 ,Sales Coord. 2,Sales Exec. 1,First call,Inactive,No upcoming action,57,To be calculated
Comp - 163,FALCON POWER & STEEL HOLDINGS ENTERPRISES,Golden,6/26/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 928,COSMOS METALIKS ENTERPRISES,Not Ment.,6/27/2025 ,Not Assigned,Not Assigned,Proposal to order,Inactive,No upcoming action,308,To be calculated
Comp - 1,OASIS FERRO ALLOYS VENTURES PVT. LTD.,Golden,07-01-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 65,GENESIS FERRO ALLOYS LTD.,Golden,07-05-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 600,COSMOS CASTINGS LTD.,Not Ment.,07-05-2025,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,"Meeting followup, Inquiry Followups",0,To be calculated
Comp - 146,HORIZON ENERGY INDUSTRIES,Not Ment.,07-08-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 144,SUMMIT FERRO ALLOYS GROUP PVT. LTD.,Not Ment.,07-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 95,HORIZON ALLOYS INDIA LTD.,Not Ment.,07-09-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 143,CENTURY PRODUCTS VENTURES INDUSTRIES,Not Ment.,07-10-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 867,EGIS MINERALS GROUP INDIA LTD.,Not Ment.,07-10-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 932,ORION ROLLING MILLS VENTURES ENTERPRISES,Golden,07-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 956,PIONEER STEELS VENTURES INDUSTRIES,Not Ment.,07-12-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 151,TECHNO ENERGY LLP,Golden,07-12-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 335,PIONEER POWER & STEEL VENTURES PVT. LTD.,Golden,7/14/2025 ,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 107,PIONEER WIRE ROPES ENTERPRISES,Golden,7/14/2025 ,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 958,MERIT FERRO ALLOYS CORPORATION,Not Ment.,7/15/2025 ,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,"Meeting followup, Inquiry Followups",0,To be calculated
Comp - 931,QUANTUM POWER & STEEL VENTURES INDIA LTD.,Not Ment.,7/16/2025 ,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,"Meeting followup, Proposal to order",0,To be calculated
Comp - 314,HORIZON ENTERPRISES,Not Ment.,7/16/2025 ,Not Assigned,Not Assigned,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 959,VERMA INFRASTRUCTURE ENTERPRISES,Not Ment.,7/21/2025 ,Not Assigned,Not Assigned,Inquiry Followups,Inactive,No upcoming action,243,To be calculated
Comp - 960,BAJAJ FORGINGS INDIA LTD.,Not Ment.,7/21/2025 ,Not Assigned,Not Assigned,Inquiry Followups,active,"First call, Inquiry Followups",0,To be calculated
Comp - 399,SIGMA PROFILES LLP,Golden,7/23/2025 ,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 219,CORE FERRO ALLOYS CORPORATION,Golden,7/24/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 851,HERITAGE SPONGE IRON INDUSTRIES,Not Ment.,7/24/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 23,KREST SMELTERS CORPORATION,Golden,7/24/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 899,EGIS WIRE ROPES GROUP PVT. LTD.,Not Ment.,7/24/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 896,INDUS FERRO ALLOYS GROUP INDIA LTD.,Not Ment.,7/25/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 255,MEHTA ENERGY INDUSTRIES,Not Ment.,7/26/2025 ,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 261,PRIME STEELS GROUP INDIA LTD.,Golden,7/26/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 414,QUANTUM STEEL HOLDINGS INDUSTRIES,Not Ment.,7/26/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 400,SUMMIT TUBES GROUP INDUSTRIES,Not Ment.,7/28/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 961,OASIS PRODUCTS HOLDINGS INDIA LTD.,Not Ment.,7/28/2025 ,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 386,KARAN STRUCTURES INDIA LTD.,Not Ment.,7/28/2025 ,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 294,HERITAGE ROLLING MILLS HOLDINGS LLP,Golden,7/29/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 322,RADIANT POWER & STEEL LTD.,Golden,7/29/2025 ,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 834,BALAJI POWER & STEEL INDIA LTD.,Not Ment.,7/29/2025 ,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 963,BAJAJ STEEL LTD.,Not Ment.,7/30/2025 ,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 962,OPTIMA STRIPS INDUSTRIES,Not Ment.,7/30/2025 ,Not Assigned,Not Assigned,Inquiry Followups,active,"First call, Inquiry Followups",0,To be calculated
Comp - 60,OPTIMA STRUCTURES INDUSTRIES,Not Ment.,08-05-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 311,GLOBAL METALIKS LTD.,Not Ment.,08-05-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 880,OPTIMA PRODUCTS VENTURES CORPORATION,Not Ment.,08-05-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 881,SUPREME ROLLING MILLS INDUSTRIES,Not Ment.,08-05-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 687,ORION METALLURGICAL LTD.,Not Ment.,08-05-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 886,MEHTA WIRE ROPES VENTURES INDIA LTD.,Not Ment.,08-05-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 265,SWASTIK ENERGY LLP,Not Ment.,08-05-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 275,RADIANT FORGINGS HOLDINGS INDIA LTD.,Not Ment.,08-08-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 903,UNITED FORGINGS INDUSTRIES,Not Ment.,08-11-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,Inactive,No upcoming action,162,To be calculated
Comp - 868,INFINITY TUBES LTD.,Not Ment.,08-12-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 970,GUPTA INDIA LTD.,Not Ment.,8/20/2025 ,Not Assigned,Not Assigned,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 54,GUPTA ALLOYS INDUSTRIES,Golden,8/22/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 333,GLOBAL STEEL ENTERPRISES,Not Ment.,8/22/2025 ,Not Assigned,Not Assigned,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 85,UNITED IRON & STEEL ENTERPRISES,Not Ment.,8/22/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 162,INDUS STEELS GROUP PVT. LTD.,Not Ment.,8/26/2025 ,Sales Coord. 2,Sales Exec. 1,First call,Inactive,No upcoming action,2,To be calculated
Comp - 119,RATHI METALIKS ENTERPRISES,Not Ment.,8/27/2025 ,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 490,KREST FASTENERS VENTURES LLP,Not Ment.,8/29/2025 ,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 366,WESTERN ROLLING MILLS ENTERPRISES,Golden,09-04-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 929,UNITED MINERALS VENTURES LTD.,Not Ment.,09-08-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,"Meeting followup, Inquiry Followups",0,To be calculated
Comp - 406,UTKARSH STEELS PVT. LTD.,Golden,09-12-2025,Sales Coord. 1,Sales Exec. 1,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 974,BALAJI LLP,Golden,9/18/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 795,MEHTA METALIKS INDIA LTD.,Not Ment.,9/22/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 79,INDUS INDIA LTD.,Golden,9/23/2025 ,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 971,PRIME FASTENERS GROUP ENTERPRISES,Not Ment.,9/23/2025 ,Not Assigned,Not Assigned,Inquiry Followups,active,"Followup Meeting, Inquiry Followups",0,To be calculated
Comp - 972,OASIS ROLLING MILLS INDUSTRIES,Not Ment.,9/24/2025 ,Not Assigned,Not Assigned,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 318,COSMOS LLP,Not Ment.,10-04-2025,Not Assigned,Not Assigned,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 332,MERIT FERRO ALLOYS INDUSTRIES,Golden,10-04-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 401,BALAJI METALS PVT. LTD.,Golden,10-06-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 39,TITAN POWER & STEEL LLP,Golden,10-06-2025,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 67,DYNAMIC METALLURGICAL INDUSTRIES,Golden,10-06-2025,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 251,IMPACT SPONGE IRON HOLDINGS INDIA LTD.,Not Ment.,10-08-2025,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 252,STERLING CASTINGS INDUSTRIES,Not Ment.,10-08-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 253,TECHNO STRIPS INDIA LTD.,Not Ment.,10-08-2025,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 468,SUPREME INFRASTRUCTURE INDIA LTD.,Not Ment.,10-08-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 859,INDUS MINERALS PVT. LTD.,Not Ment.,10-08-2025,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 271,VERMA WIRE ROPES GROUP INDUSTRIES,Not Ment.,10-08-2025,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 891,BALAJI INDUSTRIES,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 892,AGARWAL FORGINGS ENTERPRISES,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 403,INDUS FORGINGS VENTURES ENTERPRISES,Not Ment.,10-08-2025,Not Assigned,Not Assigned,Followup Meeting,active,"First call, Followup Meeting",0,To be calculated
Comp - 405,CORE PROFILES LLP,Not Ment.,10-08-2025,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 902,PIONEER ROLLING MILLS PVT. LTD.,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 12,PHOENIX PRODUCTS HOLDINGS ENTERPRISES,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 101,ORION LLP,Golden,10-08-2025,Sales Coord. 1,Sales Exec. 1,Proposal to order,active,"Meeting followup, Proposal to order",0,To be calculated
Comp - 975,MALHOTRA INDUSTRIES,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 976,MALHOTRA TUBES HOLDINGS LTD.,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 686,OMEGA POWER & STEEL LLP,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 259,LUMINA WIRE ROPES LTD.,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 260,PHOENIX FORGINGS INDIA LTD.,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 649,HORIZON INDUSTRIES,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 941,PINNACLE STEELS INDIA LTD.,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 876,UNITED INDUSTRIES,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 877,TECHNO STRUCTURES HOLDINGS INDUSTRIES,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 942,KARAN FORGINGS GROUP ENTERPRISES,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 231,DELTA STRIPS GROUP ENTERPRISES,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 672,RADIANT METALS HOLDINGS ENTERPRISES,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 674,UNITED FERRO ALLOYS GROUP LTD.,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 678,OMEGA FOUNDRIES GROUP PVT. LTD.,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 705,ALPHA CORPORATION,Not Ment.,10-08-2025,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 306,INDUS STRUCTURES INDIA LTD.,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 417,EGIS FERRO ALLOYS ENTERPRISES,Golden,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 702,QUANTUM POWER & STEEL HOLDINGS PVT. LTD.,Not Ment.,10-08-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 36,GOEL IRON & STEEL HOLDINGS PVT. LTD.,Not Ment.,10-08-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 58,INDUS IRON & STEEL CORPORATION,Not Ment.,10-08-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 457,CORE METALS GROUP INDUSTRIES,Not Ment.,10-08-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 8,GOEL CORPORATION,Not Ment.,10-08-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 108,FALCON METALIKS HOLDINGS CORPORATION,Not Ment.,10-08-2025,Sales Coord. 2,Sales Exec. 1,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 482,GALAXY PRODUCTS INDUSTRIES,Not Ment.,10-08-2025,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 31,GLOBAL INDIA LTD.,Golden,10-10-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 105,RADIANT PROFILES PVT. LTD.,Golden,10-10-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 3,GENESIS TUBES VENTURES INDIA LTD.,Golden,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 32,COSMOS INFRASTRUCTURE CORPORATION,Golden,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 70,NATIONAL METALS HOLDINGS INDUSTRIES,Golden,10-10-2025,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 774,ALPHA INFRASTRUCTURE VENTURES LTD.,Golden,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 964,SHRIRAM ALLOYS VENTURES ENTERPRISES,Golden,10-10-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 126,MATRIX METALLURGICAL INDIA LTD.,Golden,10-10-2025,Not Assigned,Not Assigned,First call,Inactive,No upcoming action,83,To be calculated
Comp - 84,GALAXY ALLOYS INDUSTRIES,Golden,10-10-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,"Meeting followup, Inquiry Followups",0,To be calculated
Comp - 426,SHARMA ALLOYS INDUSTRIES,Golden,10-10-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 344,REGAL FASTENERS GROUP PVT. LTD.,Golden,10-10-2025,Not Assigned,Not Assigned,Inquiry Followups,Inactive,No upcoming action,22,To be calculated
Comp - 315,CENTURY INDUSTRIES,Golden,10-10-2025,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 289,RADIANT SPONGE IRON LTD.,Golden,10-10-2025,Not Assigned,Not Assigned,First call,Inactive,No upcoming action,450,To be calculated
Comp - 346,SUPREME INDIA LTD.,Golden,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 866,MITTAL CASTINGS HOLDINGS PVT. LTD.,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 321,SUMMIT STRIPS INDUSTRIES,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 944,GUPTA LTD.,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 945,ORION ENTERPRISES,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
